location,approx_cost(for two people),name
BTM,0,26
BTM,70,3
BTM,100,92
BTM,120,8
BTM,130,8
BTM,150,190
BTM,200,628
BTM,230,10
BTM,250,416
BTM,300,1207
BTM,350,211
BTM,400,758
BTM,450,98
BTM,500,546
BTM,550,54
BTM,600,343
BTM,650,38
BTM,700,154
BTM,750,13
BTM,800,100
BTM,850,9
BTM,900,67
BTM,1000,66
BTM,1100,26
BTM,1200,22
BTM,1300,6
BTM,1500,13
BTM,1600,12
Banashankari,80,1
Banashankari,100,41
Banashankari,150,85
Banashankari,200,121
Banashankari,250,59
Banashankari,300,137
Banashankari,350,28
Banashankari,400,75
Banashankari,450,28
Banashankari,500,79
Banashankari,550,8
Banashankari,600,50
Banashankari,650,15
Banashankari,700,39
Banashankari,750,19
Banashankari,800,80
Banashankari,850,5
Banashankari,900,6
Banashankari,950,4
Banashankari,1000,10
Banashankari,1200,12
Banashankari,1300,4
Banaswadi,0,11
Banaswadi,100,21
Banaswadi,150,48
Banaswadi,200,70
Banaswadi,250,40
Banaswadi,300,119
Banaswadi,350,26
Banaswadi,400,99
Banaswadi,450,23
Banaswadi,500,87
Banaswadi,550,16
Banaswadi,600,46
Banaswadi,650,4
Banaswadi,700,16
Banaswadi,750,4
Banaswadi,800,11
Banaswadi,900,2
Banaswadi,1000,4
Banaswadi,1050,4
Banaswadi,1100,4
Banaswadi,1200,4
Banaswadi,1300,5
Bannerghatta Road,0,13
Bannerghatta Road,50,2
Bannerghatta Road,100,35
Bannerghatta Road,150,57
Bannerghatta Road,190,2
Bannerghatta Road,200,149
Bannerghatta Road,250,152
Bannerghatta Road,300,194
Bannerghatta Road,350,76
Bannerghatta Road,400,312
Bannerghatta Road,450,48
Bannerghatta Road,500,137
Bannerghatta Road,550,18
Bannerghatta Road,600,145
Bannerghatta Road,650,34
Bannerghatta Road,700,71
Bannerghatta Road,750,9
Bannerghatta Road,800,80
Bannerghatta Road,850,1
Bannerghatta Road,900,42
Bannerghatta Road,1000,33
Bannerghatta Road,1100,6
Bannerghatta Road,1200,7
Bannerghatta Road,1500,2
Bannerghatta Road,1600,2
Bannerghatta Road,1700,3
Basavanagudi,100,84
Basavanagudi,150,75
Basavanagudi,160,1
Basavanagudi,200,106
Basavanagudi,250,53
Basavanagudi,300,99
Basavanagudi,350,15
Basavanagudi,400,48
Basavanagudi,450,21
Basavanagudi,500,38
Basavanagudi,550,10
Basavanagudi,600,54
Basavanagudi,650,9
Basavanagudi,700,13
Basavanagudi,750,12
Basavanagudi,800,24
Basavanagudi,900,6
Basavanagudi,1000,6
Basavanagudi,1100,4
Basavanagudi,2200,6
Bellandur,100,13
Bellandur,150,29
Bellandur,200,137
Bellandur,250,63
Bellandur,300,157
Bellandur,330,4
Bellandur,350,39
Bellandur,400,236
Bellandur,450,27
Bellandur,500,162
Bellandur,550,32
Bellandur,600,109
Bellandur,650,12
Bellandur,700,45
Bellandur,750,12
Bellandur,800,45
Bellandur,850,4
Bellandur,900,18
Bellandur,950,5
Bellandur,1000,36
Bellandur,1100,9
Bellandur,1200,15
Bellandur,1400,15
Bellandur,1500,27
Bellandur,1600,3
Bellandur,1700,9
Bellandur,1800,16
Bellandur,2000,7
Brigade Road,100,5
Brigade Road,150,59
Brigade Road,180,13
Brigade Road,200,102
Brigade Road,250,57
Brigade Road,300,123
Brigade Road,350,30
Brigade Road,400,137
Brigade Road,450,52
Brigade Road,500,98
Brigade Road,550,29
Brigade Road,600,60
Brigade Road,650,38
Brigade Road,700,76
Brigade Road,750,7
Brigade Road,800,84
Brigade Road,900,8
Brigade Road,1000,10
Brigade Road,1100,34
Brigade Road,1200,11
Brigade Road,1300,30
Brigade Road,1500,76
Brigade Road,1600,20
Brigade Road,1900,12
Brigade Road,2000,47
Brookefield,0,2
Brookefield,100,5
Brookefield,120,5
Brookefield,150,21
Brookefield,200,66
Brookefield,250,52
Brookefield,300,111
Brookefield,350,19
Brookefield,400,110
Brookefield,450,22
Brookefield,500,68
Brookefield,550,18
Brookefield,600,60
Brookefield,650,4
Brookefield,700,15
Brookefield,750,27
Brookefield,800,25
Brookefield,850,5
Brookefield,900,7
Brookefield,1000,5
Brookefield,1200,4
Brookefield,1500,7
Church Street,150,8
Church Street,200,11
Church Street,250,27
Church Street,300,16
Church Street,350,11
Church Street,400,21
Church Street,450,3
Church Street,500,57
Church Street,600,47
Church Street,650,24
Church Street,700,28
Church Street,750,28
Church Street,800,25
Church Street,900,15
Church Street,950,12
Church Street,1000,72
Church Street,1100,41
Church Street,1200,38
Church Street,1300,21
Church Street,1400,11
Church Street,1500,34
Church Street,1700,19
Electronic City,0,1
Electronic City,60,1
Electronic City,100,19
Electronic City,150,42
Electronic City,180,1
Electronic City,200,116
Electronic City,250,82
Electronic City,300,200
Electronic City,350,66
Electronic City,400,215
Electronic City,450,34
Electronic City,500,116
Electronic City,550,26
Electronic City,600,86
Electronic City,650,15
